,types,prediction,err type,err label,probability
468,0,0,0,"fantasy, correct",0.2081927596028335
5484,0,0,0,"fantasy, correct",2.2420841440891252e-08
16900,1,1,3,"scifi, correct",0.9309696366678573
19795,1,1,3,"scifi, correct",0.996283329956649
13019,1,1,3,"scifi, correct",0.764979706209081
6012,0,0,0,"fantasy, correct",0.0011206258907014595
1300,0,1,2,fantasy->scifi,0.7468695917238571
1703,0,1,2,fantasy->scifi,0.6124742272563954
15690,1,1,3,"scifi, correct",0.9999999808478098
8042,0,0,0,"fantasy, correct",0.34070185721529667
18429,1,0,1,scifi->fantasy,0.2862297618540004
16087,1,1,3,"scifi, correct",0.984338771297219
17146,1,1,3,"scifi, correct",0.9722875538422178
1250,0,0,0,"fantasy, correct",0.0004261545670271162
562,0,0,0,"fantasy, correct",2.182231072802171e-05
10681,1,1,3,"scifi, correct",0.7167518092207137
19816,1,1,3,"scifi, correct",0.8693037611404326
15810,1,1,3,"scifi, correct",0.58038115198626
16771,1,1,3,"scifi, correct",0.701961617663675
5534,0,0,0,"fantasy, correct",0.0005632940386320861
11886,1,1,3,"scifi, correct",0.6124742272563954
6424,0,1,2,fantasy->scifi,0.6046273950366904
12313,1,1,3,"scifi, correct",0.9898495484238875
10207,1,1,3,"scifi, correct",0.5352080258070987
10065,1,1,3,"scifi, correct",0.6124742272563954
11287,1,1,3,"scifi, correct",0.5895475515047112
3754,0,1,2,fantasy->scifi,0.587459146034943
17777,1,1,3,"scifi, correct",0.7383025118381071
10690,1,1,3,"scifi, correct",0.5613139449562483
14092,1,1,3,"scifi, correct",0.923448853871441
3638,0,0,0,"fantasy, correct",0.4428958992621585
5314,0,0,0,"fantasy, correct",0.02046046910469272
4526,0,1,2,fantasy->scifi,0.5820062810503451
19307,1,0,1,scifi->fantasy,0.333946421336722
15283,1,1,3,"scifi, correct",0.999783757706055
7892,0,1,2,fantasy->scifi,0.8307546471342294
17409,1,0,1,scifi->fantasy,0.27071906681127
3841,0,0,0,"fantasy, correct",0.042854360130863786
11297,1,1,3,"scifi, correct",0.9150780249696899
4823,0,1,2,fantasy->scifi,0.6352327733660945
17270,1,1,3,"scifi, correct",0.7995747943248415
2839,0,1,2,fantasy->scifi,0.664056809056738
12298,1,1,3,"scifi, correct",0.508857172436025
16209,1,1,3,"scifi, correct",0.5177619117514347
6640,0,0,0,"fantasy, correct",0.055849630496892476
13281,1,1,3,"scifi, correct",0.8057132440292828
8978,0,0,0,"fantasy, correct",0.004084753917960624
6534,0,1,2,fantasy->scifi,0.6436480670466136
14336,1,0,1,scifi->fantasy,0.3745895127188406
12546,1,1,3,"scifi, correct",0.5346395018034468
11551,1,1,3,"scifi, correct",0.5129935213888462
18664,1,1,3,"scifi, correct",0.6195457594084494
17550,1,1,3,"scifi, correct",0.6625156070263012
8058,0,0,0,"fantasy, correct",0.0006407007771168232
1838,0,1,2,fantasy->scifi,0.6918639186130396
18917,1,1,3,"scifi, correct",0.614983013150759
5468,0,1,2,fantasy->scifi,0.6507217014403872
9162,0,0,0,"fantasy, correct",0.42570259645035297
8578,0,0,0,"fantasy, correct",0.00030253220835585204
8622,0,0,0,"fantasy, correct",0.07904979608977666
6000,0,0,0,"fantasy, correct",4.315100202737872e-05
19444,1,1,3,"scifi, correct",0.9368520556911596
6519,0,0,0,"fantasy, correct",2.142581440348231e-22
16708,1,0,1,scifi->fantasy,0.445811211539088
12554,1,1,3,"scifi, correct",0.8463130904694344
7867,0,0,0,"fantasy, correct",0.0013841627085391457
1853,0,0,0,"fantasy, correct",0.01722961701331652
19532,1,1,3,"scifi, correct",0.6941490955530788
17378,1,1,3,"scifi, correct",0.9848619122777698
19240,1,1,3,"scifi, correct",0.7786706822567211
18432,1,1,3,"scifi, correct",0.9592737440697274
2854,0,0,0,"fantasy, correct",0.180706266464252
5972,0,0,0,"fantasy, correct",0.026784209283027365
8419,0,0,0,"fantasy, correct",0.08432720557684584
10185,1,0,1,scifi->fantasy,0.45534982428094845
11042,1,1,3,"scifi, correct",0.990814596100983
5801,0,0,0,"fantasy, correct",0.4135447625840234
11674,1,1,3,"scifi, correct",0.9815451596722674
5909,0,1,2,fantasy->scifi,0.5495540205736256
1726,0,0,0,"fantasy, correct",0.003347265370991317
238,0,1,2,fantasy->scifi,0.7050785257909004
10778,1,1,3,"scifi, correct",0.999978822101934
7689,0,1,2,fantasy->scifi,0.5738903982690235
5828,0,0,0,"fantasy, correct",0.05305079966484027
7915,0,0,0,"fantasy, correct",0.3858718248937821
1142,0,0,0,"fantasy, correct",0.09044044551968705
4887,0,1,2,fantasy->scifi,0.6124742272563954
11702,1,1,3,"scifi, correct",0.6905135530311521
16748,1,1,3,"scifi, correct",0.617967765889901
4215,0,1,2,fantasy->scifi,0.7154452660474491
18790,1,1,3,"scifi, correct",0.9949766805218592
17446,1,1,3,"scifi, correct",0.9682031912357537
613,0,0,0,"fantasy, correct",0.0023525629784652002
17595,1,1,3,"scifi, correct",0.7734049349989106
14973,1,1,3,"scifi, correct",0.6204034016130298
407,0,1,2,fantasy->scifi,0.5080723440226668
3454,0,0,0,"fantasy, correct",0.023972274966744398
2833,0,0,0,"fantasy, correct",0.002786959305171743
11650,1,1,3,"scifi, correct",0.6633674286093948
2859,0,0,0,"fantasy, correct",0.2088959996286478
12731,1,1,3,"scifi, correct",0.5332969037059095
8043,0,1,2,fantasy->scifi,0.5390471116104131
9984,0,1,2,fantasy->scifi,0.7420202700339679
5157,0,0,0,"fantasy, correct",0.40633211688606596
11932,1,1,3,"scifi, correct",0.942404621939283
17106,1,1,3,"scifi, correct",0.8780989789147025
1340,0,0,0,"fantasy, correct",0.08482689380390064
16460,1,0,1,scifi->fantasy,0.42290869992484603
19928,1,1,3,"scifi, correct",0.6765279259329345
14325,1,1,3,"scifi, correct",0.9883699734738558
19084,1,1,3,"scifi, correct",0.765167607938004
7324,0,1,2,fantasy->scifi,0.5529466867847083
3443,0,0,0,"fantasy, correct",0.009515092105325003
11539,1,0,1,scifi->fantasy,0.4120314490245677
18887,1,1,3,"scifi, correct",0.8935288698955743
5628,0,1,2,fantasy->scifi,0.5220661248898975
14354,1,1,3,"scifi, correct",0.908462256013597
10420,1,1,3,"scifi, correct",0.7065487687605257
7412,0,1,2,fantasy->scifi,0.6766203768058512
3624,0,0,0,"fantasy, correct",0.0749699266438779
9929,0,0,0,"fantasy, correct",0.39364603928834796
17368,1,1,3,"scifi, correct",0.5760981839724434
8387,0,0,0,"fantasy, correct",0.08323423358068864
4090,0,0,0,"fantasy, correct",0.3020965749210487
961,0,0,0,"fantasy, correct",0.03041152466360897
19565,1,1,3,"scifi, correct",0.9999963257969415
17495,1,1,3,"scifi, correct",0.9925981054267741
7459,0,0,0,"fantasy, correct",0.08402528344060119
992,0,0,0,"fantasy, correct",0.20314064427621606
421,0,1,2,fantasy->scifi,0.5605773486248361
380,0,0,0,"fantasy, correct",0.05256593232980217
12339,1,1,3,"scifi, correct",0.6302948649879462
16689,1,1,3,"scifi, correct",0.5760981839724434
18963,1,1,3,"scifi, correct",0.7765262965696033
15678,1,0,1,scifi->fantasy,0.4392892916976561
15297,1,1,3,"scifi, correct",0.9448855871310904
10318,1,1,3,"scifi, correct",0.9727092990635853
7569,0,1,2,fantasy->scifi,0.6441053536838861
7478,0,1,2,fantasy->scifi,0.7464679815375885
11330,1,1,3,"scifi, correct",0.5035645388593185
19179,1,1,3,"scifi, correct",0.7734049349989106
8543,0,0,0,"fantasy, correct",0.37502606379726994
3534,0,0,0,"fantasy, correct",0.0002774725360840132
17437,1,1,3,"scifi, correct",0.9425694820551591
19300,1,0,1,scifi->fantasy,0.282318865209642
17506,1,1,3,"scifi, correct",0.7620221924098067
9889,0,0,0,"fantasy, correct",0.47620664360753856
2766,0,0,0,"fantasy, correct",0.2838048474190556
18001,1,0,1,scifi->fantasy,0.13211405303827511
1261,0,0,0,"fantasy, correct",0.0003741747809574457
3201,0,0,0,"fantasy, correct",0.4113227198661064
3940,0,1,2,fantasy->scifi,0.5983492420811042
9284,0,1,2,fantasy->scifi,0.5133598192021839
18649,1,1,3,"scifi, correct",0.9727578347074973
11050,1,1,3,"scifi, correct",0.9438915535606824
4641,0,0,0,"fantasy, correct",0.0033058164892868654
19234,1,1,3,"scifi, correct",0.6937594577817962
10834,1,1,3,"scifi, correct",0.8809517522521326
18504,1,1,3,"scifi, correct",0.9090753695803336
10893,1,1,3,"scifi, correct",0.9945958105825671
9432,0,0,0,"fantasy, correct",0.01731237592727906
17644,1,1,3,"scifi, correct",0.550351404598832
12913,1,1,3,"scifi, correct",0.9945958105825671
16357,1,1,3,"scifi, correct",0.6719546840944449
13839,1,1,3,"scifi, correct",0.8512979528430209
5341,0,0,0,"fantasy, correct",0.12603998822473084
132,0,0,0,"fantasy, correct",0.030463392192322396
9227,0,1,2,fantasy->scifi,0.6268855693869682
14688,1,1,3,"scifi, correct",0.9859567375120796
18335,1,1,3,"scifi, correct",0.9939342336206864
5563,0,0,0,"fantasy, correct",0.1100241294120992
6737,0,1,2,fantasy->scifi,0.5786375523311521
11208,1,1,3,"scifi, correct",0.9696110121987216
2860,0,0,0,"fantasy, correct",0.00020294858773528632
4392,0,0,0,"fantasy, correct",0.13505049380594655
5612,0,0,0,"fantasy, correct",0.2170688270984354
14904,1,1,3,"scifi, correct",0.8887233063494798
1647,0,0,0,"fantasy, correct",0.005528749998439268
13631,1,1,3,"scifi, correct",0.9736507044122309
8036,0,0,0,"fantasy, correct",2.9102605200111136e-05
11526,1,1,3,"scifi, correct",0.5115336586585628
18483,1,1,3,"scifi, correct",0.9990369610078099
6491,0,0,0,"fantasy, correct",2.1231952018524048e-10
14447,1,1,3,"scifi, correct",0.538181036653731
4635,0,0,0,"fantasy, correct",0.01021922734561777
18875,1,0,1,scifi->fantasy,0.10674002195199239
11879,1,0,1,scifi->fantasy,0.44314039474992856
5135,0,1,2,fantasy->scifi,0.5111048960615298
1749,0,0,0,"fantasy, correct",0.12351603398307508
780,0,0,0,"fantasy, correct",0.10929235036460071
11951,1,0,1,scifi->fantasy,0.46502429912253257
14410,1,1,3,"scifi, correct",0.9911486485712666
7031,0,1,2,fantasy->scifi,0.6305322737814596
13083,1,1,3,"scifi, correct",0.6345795337634892
9223,0,0,0,"fantasy, correct",0.01114311606114776
4915,0,0,0,"fantasy, correct",0.018747691605563888
17352,1,1,3,"scifi, correct",0.786503711283583
